nohup: ignoring input
/home/ubuntu/telegram_project/bot.py:176: PTBUserWarning: If 'per_message=False', 'CallbackQueryHandler' will not be tracked for every message. Read this FAQ entry to learn more about the per_* settings: https://github.com/python-telegram-bot/python-telegram-bot/wiki/Frequently-Asked-Questions#what-do-the-per_-settings-in-conversationhandler-do.
  conv = ConversationHandler(
2025-12-27 05:48:01,198 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:48:11,360 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:48:21,522 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:48:31,688 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:48:41,849 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:48:52,010 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:49:02,172 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:49:12,340 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:49:22,499 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:49:32,660 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:49:42,822 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:49:52,996 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:50:03,158 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:50:13,319 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:50:23,480 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:50:33,646 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:50:43,808 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:50:53,969 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:51:04,132 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:51:14,292 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:51:24,452 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:51:34,612 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:51:44,773 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:51:54,933 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
